date,open,high,low,close,volume,amount,sma_20,sma_50,ema_20,ema_50,MACDh_6_13_5,rsi,BBB_10_2.0,atr,cmf
202501Week1,105500,106600,102200,104500,1179331,123620743300,100275.0,88230.0,98935.6329364048,87799.2740656074,-88.45111623962475,62.30711993815101,9.025122740203933,5396.176581399816,0.0444410099867574
202501Week2,104500,113500,104500,111800,1510229,165519955900,101300.0,89032.0,100160.81075198531,88740.47900421104,620.4037565641229,69.06822066106795,13.648084501147892,5653.592540324575,0.1519888027821085
202501Week3,112600,113600,108900,109300,955134,105430397800,102280.0,89782.0,101031.20972798672,89546.7347295361,518.6785628188636,64.7825577735234,15.058807500135657,5585.478787332866,0.14712755606143513
202501Week5,113000,114200,110800,114200,362422,40894890800,103335.0,90570.0,102285.38023008322,90513.52944602488,799.72560266248,68.86092394095705,18.985336947160892,5536.516016734742,0.12997858586798014
202502Week1,111700,114500,107600,110300,1245028,138943448900,104095.0,91124.0,103048.67735102768,91289.4694677494,344.0570023265209,62.64288593459977,19.3308700689509,5633.907729962439,0.1223923259927684
202502Week2,110500,118400,109500,117700,1222233,139189081500,105100.0,91816.0,104444.04141283457,92325.1765474455,730.4926563599556,68.46210860982765,21.942934445024907,5867.200035270563,0.12864807619637558
202502Week3,117700,127200,117100,125000,1382695,168353352100,106495.0,92686.0,106401.75175446938,93606.54217303586,1380.7191260850504,72.94019213605249,27.25468536024899,6169.542890261666,0.16156092436687247
202502Week4,125000,125600,119600,120800,1369122,167352306700,107450.0,93438.0,107773.01349213897,94672.9522838972,922.8558127193428,67.04201627460598,25.20447613002496,6157.432683800733,0.09018927701506273
202503Week1,120700,127400,117400,119000,1678371,204044208400,108100.0,94134.0,108842.25030241144,95626.95415511692,300.36500001026616,64.62993235237435,22.328583222426108,6431.901778102684,0.0005147644111061321
202503Week2,118100,121000,114800,115500,1279828,150975921500,108635.0,94810.0,109476.32170218178,96406.28928628881,-457.91554921795523,60.101858795511966,20.090698558466304,6415.3373653649405,-0.03196729333418623
202503Week3,115900,123200,115900,117400,1143316,136035719850,109365.0,95502.0,110230.95773054543,97229.57205937552,-632.4620879731274,61.67174807663216,16.023450066127086,6507.098982207528,-0.054960856199468236
202503Week4,118000,124100,117300,123000,921079,111298794700,110225.0,96398.0,111447.056994303,98240.17707665492,-180.45396553309183,65.92717914919089,16.467233386101444,6528.020483495979,-0.06972055003793132
202503Week5,122600,123200,117000,118400,1104757,132750767700,111055.0,97266.0,112109.24204246461,99030.7583677665,-512.4050214150948,60.031198493090706,13.681729932483728,6504.590448942291,-0.055798831712795705
202504Week1,114000,116600,107100,111500,1720513,191734863600,111400.0,97902.0,112051.21899080131,99519.74823569723,-1324.4776172373017,52.45342911485412,14.83406767124647,6847.119702837153,-0.07789054183306571
202504Week2,112100,115300,111600,114500,873172,99363020650,112025.0,98610.0,112284.43622977262,100107.2090891993,-1244.581964474632,55.10682204208693,12.807002025542674,6629.468295345383,-0.033041199896158856
202504Week3,114200,120600,114100,119100,817299,96850314850,112950.0,99346.0,112933.53754122285,100852.02441903461,-643.8042788514158,58.89474369269295,12.798103232647867,6620.2205599578,0.022484855553243952
202504Week4,118400,124500,116500,122600,996517,120809345750,114015.0,100172.0,113854.15301348733,101704.88620652346,-20.423574452687717,61.552892018157166,11.585059626119396,6718.776234303635,0.016513916736225834
202505Week1,123700,123800,118000,118200,865550,104314595150,115005.0,100984.0,114268.04320267901,102351.75341411078,-237.45598519500777,56.597810572510795,11.230769034830514,6653.149360389494,0.014381861002525809
202505Week2,118300,119900,112200,112800,1469297,169338107750,115570.0,101702.0,114128.22956432863,102761.48857434173,-855.5641067604622,51.1550796247078,12.333861053940437,6727.924406113317,-0.0693137986190473
202505Week3,111000,113100,107800,109200,1341588,148143019350,115740.0,102376.0,113658.8743677259,103013.9792184852,-1357.5969061480935,47.851347464393776,14.91370197221401,6625.929805629335,-0.12176776669499322
202505Week4,109300,115200,108400,111700,2448570,273023384750,116100.0,103148.0,113472.31490413296,103354.60748442696,-1134.279586291644,50.254028782392204,15.79363640201473,6638.363390946881,-0.12059684318993671
202506Week1,111000,115400,110400,111100,1086656,122353025450,116065.0,103840.0,113246.38015135839,103658.34836739062,-929.6475183363395,49.66263229541609,14.493987711116578,6521.337434403863,-0.1936175242040135
202506Week2,111400,114900,109900,110100,2125225,239102861750,116105.0,104460.0,112946.72489884807,103910.9621569047,-790.1063186828806,48.6353418194963,14.769688912513962,6412.670474763224,-0.23039472628284535
202506Week3,110700,111600,104800,106400,2767249,297177741250,115715.0,104920.0,112323.22728943397,104008.57148408491,-945.3589085040617,44.931906369217195,16.786619694128603,6440.336869432536,-0.2761041722923938
202506Week4,107000,116100,106600,112200,1678799,190029447950,115810.0,105524.0,112311.49135710693,104329.80397490511,-279.0203417645748,51.204453665502804,16.838557608803477,6673.169950261925,-0.2516857885951709
202506Week5,112200,117800,111300,113300,1295926,148926055700,115590.0,106140.0,112405.63503738245,104681.57636804608,174.58164703040325,52.31384703280227,15.507429405961531,6660.800668096681,-0.3049143825451591
202507Week1,113400,118600,112400,118300,1223882,142064996350,115255.0,106876.0,112967.00312906032,105215.63219675016,839.4339507028379,57.089482162883975,12.494828501029541,6627.886334652114,-0.2951052074240891
202507Week2,118000,123600,115000,116200,1487048,176443704200,115025.0,107596.0,113274.90759295934,105646.39171844623,798.875016326126,54.61554264735677,11.462102040845586,6768.751596498799,-0.30272345318247934
202507Week3,115800,119800,115100,117100,433646,51059074050,114930.0,108300.0,113639.20210791558,106095.55282752679,751.5843212355669,55.505455817204684,12.596409882337323,6620.983625285128,-0.27687775892612865
